The Shawshank Redemption%	 USA%	 Mansfield%	 Ohio%	
The Shawshank Redemption%	 U.S. Virgin Islands%	St. Croix%	NULL%	
The Godfather%	 Italy%	 Messina%	 Sicily%	
The Godfather%	 USA%	 New York City%	 New York%	
The Godfather%	 Dominican Republic%	Santo Domingo%	NULL%	
The Godfather: Part II%	 USA%	 Lake Tahoe%	 California%	
The Godfather: Part II%	 Dominican Republic%	El Embajador Hotel%	 Santo Domingo%	
The Godfather: Part II%	 Italy%	 Messina%	 Sicily%	
The Godfather: Part II%	 Catania%	via Vecchia Pozzillo%	 Acireale%	
The Dark Knight%	 Hong Kong%	Times Square%	 Causeway Bay%	
The Dark Knight%	 China%	Hong Kong%	NULL%	
The Dark Knight%	 USA%	 Chicago%	 Illinois%	
The Dark Knight%	 UK%	 London%	 England%	
12 Angry Men%	 USA%	 New York City%	 New York%	
Schindler's List%	 Poland%	 Oswiecim%	 Malopolskie%	
Schindler's List%	 Israel%	Jerusalem%	NULL%	
The Lord of the Rings: The Return of the King%	 New Zealand%	 Matamata%	 Waikato%	
Pulp Fiction%	 USA%	 Glendale%	 California%	
The Good, the Bad and the Ugly%	 Spain%	 Burgos%	 Castilla y León%	
The Good, the Bad and the Ugly%	 Italy%	 Rome%	 Lazio%	
The Good, the Bad and the Ugly%	 Mexico%	Durango%	NULL%	
Fight Club%	 USA%	 Los Angeles%	 California%	
The Lord of the Rings: The Fellowship of the Ring%	 New Zealand%	Wellington%	NULL%	
Forrest Gump%	 USA%	Savannah%	 Georgia%	
Star Wars: Episode V - The Empire Strikes Back%	 Norway%	Hardangerjøkulen Glacier%	 Finse%	
Star Wars: Episode V - The Empire Strikes Back%	 USA%	Hillsboro%	 Oregon%	
Star Wars: Episode V - The Empire Strikes Back%	 UK%	 Hertfordshire%	 England%	
Inception%	 Morocco%	Tangier%	 Tangier-Assilah%	
Inception%	 Japan%	Shizuoka%	NULL%	
Inception%	 France%	 6 Rue César Franck%	 Paris 15%	
Inception%	 USA%	 Los Angeles%	 California%	
Inception%	 UK%	 Bedfordshire%	 England%	
Inception%	 Canada%	 Kananaskis Country%	 Alberta%	
The Lord of the Rings: The Two Towers%	 New Zealand%	 Matamata%	 Waikato%	
One Flew Over the Cuckoo's Nest%	 USA%	 Salem%	 Oregon%	
Goodfellas%	 USA%	New Rochelle%	 New York%	
The Matrix%	 USA%	Nashville%	 Tennessee%	
The Matrix%	 Australia%	 Sydney%	 New South Wales%	
Seven Samurai%	 Japan%	Izu Peninsula%	 Shizuoka%	
City of God%	 Brazil%	Rio de Janeiro%	 Rio de Janeiro%	
Star Wars: Episode IV - A New Hope%	 Guatemala%	Tikal National Park%	NULL%	
Star Wars: Episode IV - A New Hope%	 Tunisia%	Chott el Djerid%	 Nefta%	
Star Wars: Episode IV - A New Hope%	 USA%	Death Valley National Park%	 California%	
Star Wars: Episode IV - A New Hope%	 UK%	 Surrey%	 England%	
Star Wars: Episode IV - A New Hope%	 Mexico%	Calakmul%	 Campeche%	
Se7en%	 USA%	 Los Angeles%	 California%	
The Silence of the Lambs%	 USA%	Pittsburgh%	 Pennsylvania%	
The Silence of the Lambs%	 Bahamas%	 South Bimini Island%	 Bimini Islands%	
It's a Wonderful Life%	 USA%	 Los Angeles%	 California%	
Life Is Beautiful%	 Italy%	Arezzo%	 Tuscany%	
The Usual Suspects%	 USA%	 Los Angeles%	 California%	
Saving Private Ryan%	 Ireland%	County Wexford%	NULL%	
Saving Private Ryan%	 UK%	 Hertfordshire%	 England%	
Saving Private Ryan%	 France%	Calvados%	NULL%	
Léon: The Professional%	 France%	Paris%	NULL%	
Léon: The Professional%	 USA%	Hoboken%	 New Jersey%	
Interstellar%	 Canada%	Lethbridge%	 Alberta%	
Interstellar%	 USA%	 Culver City%	 California%	
Interstellar%	 Iceland%	 Vatnajökull%	 Austurland%	
The Green Mile%	 USA%	Shelbyville%	 Tennessee%	
American History X%	 USA%	 Los Angeles%	 California%	
Psycho%	 USA%	 Universal City%	 California%	
Once Upon a Time in the West%	 USA%	Monument Valley%	 Arizona%	
Once Upon a Time in the West%	 Mexico%	Bavispe%	 Sonora%	
Once Upon a Time in the West%	 Spain%	 Almería%	 Andalucía%	
Once Upon a Time in the West%	 Italy%	 Rome%	 Lazio%	
City Lights%	 USA%	 Los Angeles%	 California%	
Casablanca%	 USA%	 Flagstaff%	 Arizona%	
The Intouchables%	 France%	Cabourg%	 Calvados%	
Modern Times%	 USA%	 Santa Clarita%	 California%	
The Pianist%	 Poland%	 Warsaw%	 Mazowieckie%	
The Pianist%	 Germany%	Jüterbog%	 Brandenburg%	
The Departed%	 USA%	 New York City%	 New York%	
Terminator 2%	 USA%	 Fremont%	 California%	
Raiders of the Lost Ark%	 Tunisia%	Sidi Bouhlel%	 Tozeur%	
Raiders of the Lost Ark%	 USA%	Kaua'i%	 Hawaii%	
Raiders of the Lost Ark%	 France%	La Rochelle%	 Charente-Maritime%	
Raiders of the Lost Ark%	 UK%	 Hertfordshire%	 England%	
Rear Window%	 USA%	 Los Angeles%	 California%	
Back to the Future%	 USA%	 Whittier%	 California%	
Whiplash%	 USA%	Santa Clarita%	 California%	
Gladiator%	 Italy%	 Siena%	 Tuscany%	
Gladiator%	 USA%	 Lone Pine%	 California%	
Gladiator%	 Morocco%	Atlas Corporation Studios%	 Ouarzazate%	
Gladiator%	 UK%	 Surrey%	 England%	
The Lion King%	 USA%	 Burbank%	 California%	
The Prestige%	 USA%	Durango and Silverton Narrow Gauge Railroad%	 Colorado%	
Memento%	 USA%	Burbank%	 California%	
Apocalypse Now%	 Philippines%	 Baler%	 Aurora%	
Apocalypse Now%	 USA%	Napa Valley%	 California%	
Alien%	 UK%	 Surrey%	 England%	
The Great Dictator%	 USA%	 Los Angeles%	 California%	
Cinema Paradiso%	 Italy%	 Palermo%	 Sicily%	
Sunset Blvd.%	 USA%	 Los Angeles%	 California%	
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb%	 USA%	Rocky Mountains%	 Colorado%	
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb%	 Canada%	Québec%	NULL%	
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb%	 UK%	London%	 England%	
The Lives of Others%	 Germany%	 Hohenschönhausen%	 Berlin%	
Paths of Glory%	 Germany%	 Oberschleißheim%	 Bavaria%	
The Shining%	 USA%	 Mount Hood%	 Oregon%	
The Shining%	 UK%	 Essex%	 England%	
Django Unchained%	 USA%	 Edgard%	 Louisiana%	
Coco%	 USA%	 Emeryville%	 California%	
WALL·E%	 USA%	 Emeryville%	 California%	
American Beauty%	 USA%	Sacramento%	 California%	
The Dark Knight Rises%	 India%	 Jodhpur%	 Rajasthan%	
The Dark Knight Rises%	 Italy%	La loggia bar & restaurant - Florence%	 Tuscany%	
The Dark Knight Rises%	 UK%	Cairngorms National Park%	 Scotland%	
The Dark Knight Rises%	 USA%	 Los Angeles%	 California%	
Witness for the Prosecution%	 USA%	 Culver City%	 California%	
Oldeuboi%	 South Korea%	Busan%	NULL%	
Oldeuboi%	 New Zealand%	Mount Lyford%	 Southern Alps%	
Aliens%	 UK%	 London%	 England%	
Once Upon a Time in America%	 USA%	 New York City%	 New York%	
Once Upon a Time in America%	 Italy%	 Rome%	 Lazio%	
Once Upon a Time in America%	 Canada%	Montréal%	 Québec%	
Once Upon a Time in America%	 France%	 Paris 10%	 Paris%	
Das Boot%	 Germany%	Bodensee%	 Bavaria%	
Das Boot%	 France%	 La Rochelle%	 Charente-Maritime%	
Citizen Kane%	 USA%	 Pasadena%	 California%	
Vertigo%	 USA%	 San Francisco%	 California%	
North by Northwest%	 USA%	 Kern County%	 California%	
Braveheart%	 UK%	 Highland%	 Scotland%	
Braveheart%	 Ireland%	 Bray%	 County Wicklow%	
Braveheart%	 USA%	Arizona%	NULL%	
Reservoir Dogs%	 USA%	 Los Angeles%	 California%	
Star Wars: Episode VI - Return of the Jedi%	 USA%	 Crescent City%	 California%	
Star Wars: Episode VI - Return of the Jedi%	 UK%	 Hertfordshire%	 England%	
M%	 Germany%	 Spandau%	 Berlin%	
Dangal%	 India%	Ludhiana%	 Punjab%	
Requiem for a Dream%	 USA%	 New York City%	 New York%	
Amadeus%	 Czech Republic%	Barrandov Studios%	 Prague%	
Amadeus%	 Austria%	Vienna%	NULL%	
Amadeus%	 Italy%	 Grosseto%	 Tuscany%	
Amadeus%	 France%	Château de Guermantes%	 Seine-et-Marne%	
Taare Zameen Par%	 India%	Panchgani%	 Maharashtra%	
Amélie%	 France%	 Paris 18%	 Paris%	
Amélie%	 Germany%	Cologne%	 North Rhine-Westphalia%	
A Clockwork Orange%	 UK%	 London%	 England%	
Lawrence of Arabia%	 Morocco%	Ait Benhaddou%	NULL%	
Lawrence of Arabia%	 Jordan%	Wadi Rum%	NULL%	
Lawrence of Arabia%	 Spain%	 Sevilla%	 Andalucía%	
Lawrence of Arabia%	 UK%	 Bridgend%	 Wales%	
Lawrence of Arabia%	 USA%	 Glamis%	 California%	
Eternal Sunshine of the Spotless Mind%	 USA%	Montauk%	 New York%	
Double Indemnity%	 USA%	 Los Angeles%	 California%	
Taxi Driver%	 USA%	 New York City%	 New York%	
Singin' in the Rain%	 USA%	 Culver City%	 California%	
3 Idiots%	 India%	 Bangalore%	 Karnataka%	
2001: A Space Odyssey%	 UK%	 Western Isles%	 Scotland%	
2001: A Space Odyssey%	 Spain%	 Almería%	 Andalucía%	
2001: A Space Odyssey%	 USA%	Monument Valley%	 Utah%	
Toy Story%	 USA%	 Emeryville%	 California%	
To Kill a Mockingbird%	 USA%	Monroeville%	 Alabama%	
Full Metal Jacket%	 UK%	 London%	 England%	
Full Metal Jacket%	 USA%	Parris Island%	 South Carolina%	
Inglourious Basterds%	 Germany%	Görlitz%	 Saxony%	
Inglourious Basterds%	 France%	Paris%	NULL%	
Bicycle Thieves%	 Italy%	 Rome%	 Lazio%	
The Sting%	 USA%	 Chicago%	 Illinois%	
The Kid%	 USA%	 Los Angeles%	 California%	
Toy Story 3%	 USA%	 Emeryville%	 California%	
Snatch%	 UK%	 London%	 England%	
Good Will Hunting%	 Canada%	Toronto%	 Ontario%	
Good Will Hunting%	 USA%	Massachusetts Turnpike%	 Massachusetts%	
Jagten%	 Denmark%	Høje Taastrup Church%	 Taastrup%	
Monty Python and the Holy Grail%	 UK%	 East Sussex%	 England%	
Monty Python and the Holy Grail%	 Australia%	Mt. Buffalo National Park%	 Victoria%	
For a Few Dollars More%	 Spain%	 Granada%	 Andalucía%	
For a Few Dollars More%	 Italy%	 Rome%	 Lazio%	
Scarface%	 USA%	 Key Biscayne%	 Florida%	
L.A. Confidential%	 USA%	 Los Angeles%	 California%	
The Apartment%	 USA%	 New York City%	 New York%	
Metropolis%	 Germany%	Berlin%	NULL%	
Metropolis%	 Austria%	Vienna%	NULL%	
Metropolis%	 Ireland%	 James' Gate Brewery%	 Dublin%	
A Separation%	 Iran%	Tehran%	NULL%	
Rashômon%	 Japan%	Daiei Tokyo Studios%	 Tokyo%	
Indiana Jones and the Last Crusade%	 USA%	Moab%	 Utah%	
Indiana Jones and the Last Crusade%	 Spain%	 Almería%	 Andalucía%	
Indiana Jones and the Last Crusade%	 Italy%	 Venice%	 Veneto%	
Indiana Jones and the Last Crusade%	 UK%	 Buckinghamshire%	 England%	
Indiana Jones and the Last Crusade%	 Jordan%	Petra%	NULL%	
Indiana Jones and the Last Crusade%	 Germany%	 Mayen%	 Rhineland-Palatinate%	
Up%	 USA%	 Emeryville%	 California%	
Yojimbo%	 Japan%	Toho Studios%	 Tokyo%	
All About Eve%	 USA%	San Francisco%	 California%	
Batman Begins%	 Iceland%	Skaftafell%	NULL%	
Batman Begins%	 UK%	 Buckinghamshire%	 England%	
Batman Begins%	 USA%	Chicago%	 Illinois%	
Some Like It Hot%	 USA%	 Coronado%	 California%	
Unforgiven%	 Canada%	Brooks%	 Alberta%	
Unforgiven%	 USA%	 Sonora%	 California%	
The Treasure of the Sierra Madre%	 USA%	Kernville%	 California%	
The Treasure of the Sierra Madre%	 Mexico%	Tampico%	 Tamaulipas%	
Downfall%	 Russia%	St. Petersburg%	NULL%	
Downfall%	 Germany%	Berlin%	NULL%	
Die Hard%	 USA%	 Los Angeles%	 California%	
Heat%	 USA%	 East Los Angeles%	 California%	
Raging Bull%	 USA%	 New York City%	 New York%	
The Great Escape%	 Germany%	Füssen%	 Bavaria%	
The Third Man%	 Austria%	8 Schreyvogelgasse%	 Vienna%	
The Third Man%	 UK%	 Surrey%	 England%	
Children of Heaven%	 Iran%	Tehran%	NULL%	
Three Billboards Outside Ebbing, Missouri%	 USA%	Sylva%	 North Carolina%	
Chinatown%	 USA%	Channel Islands%	 California%	
Pan's Labyrinth%	 Spain%	 Segovia%	 Castilla y León%	
Incendies%	 Jordan%	Amman%	NULL%	
Incendies%	 Canada%	 Montréal%	 Québec%	
Judgment at Nuremberg%	 Germany%	 Nuremberg%	 Bavaria%	
Judgment at Nuremberg%	 USA%	 Universal City%	 California%	
Ran%	 Japan%	Aso%	 Kumamoto%	
The Secret in Their Eyes%	 Argentina%	 Buenos Aires%	 Federal District%	
The Bridge on the River Kwai%	 Sri Lanka%	Ambepussa%	NULL%	
On the Waterfront%	 USA%	 Hoboken%	 New Jersey%	
Inside Out%	 USA%	 Emeryville%	 California%	
Lock, Stock and Two Smoking Barrels%	 UK%	 London%	 England%	
The Seventh Seal%	 Sweden%	 Värmdö%	 Stockholms län%	
A Beautiful Mind%	 USA%	Princeton%	 New Jersey%	
Casino%	 USA%	Hanford%	 California%	
Room%	 Canada%	 Etobicoke%	 Ontario%	
Mr. Smith Goes to Washington%	 USA%	 Washington%	 District of Columbia%	
The Elephant Man%	 UK%	 London%	 England%	
The Wolf of Wall Street%	 Italy%	 Genoa%	 Liguria%	
The Wolf of Wall Street%	 USA%	 New York City%	 New York%	
The Wolf of Wall Street%	 Switzerland%	Geneva%	NULL%	
V for Vendetta%	 UK%	 London%	 England%	
V for Vendetta%	 Germany%	 Stahnsdorf%	 Brandenburg%	
Blade Runner%	 USA%	 Los Angeles%	 California%	
Blade Runner%	 UK%	London%	 England%	
Wild Strawberries%	 Sweden%	Dalarö%	 Stockholms län%	
The General%	 USA%	Cottage Grove%	 Oregon%	
Warrior%	 USA%	 Atlantic City%	 New Jersey%	
Sherlock Jr.%	 USA%	 Los Angeles%	 California%	
Dial M for Murder%	 USA%	 Burbank%	 California%	
Trainspotting%	 UK%	 Highland%	 Scotland%	
Gone with the Wind%	 USA%	Georgia%	NULL%	
Gran Torino%	 USA%	Royal Oak%	 Michigan%	
No Country for Old Men%	 USA%	Marfa%	 Texas%	
No Country for Old Men%	 Mexico%	Piedras Negras%	 Coahuíla%	
The Sixth Sense%	 USA%	 Chicago%	 Illinois%	
Fargo%	 USA%	Fargo%	 North Dakota%	
The Deer Hunter%	 USA%	Clairton%	 Pennsylvania%	
The Deer Hunter%	 Thailand%	Bangkok%	NULL%	
There Will Be Blood%	 USA%	Lompoc%	 California%	
The Thing%	 USA%	Juneau%	 Alaska%	
The Thing%	 Canada%	British Columbia%	NULL%	
Finding Nemo%	 USA%	 Emeryville%	 California%	
The Big Lebowski%	 USA%	 South Pasadena%	 California%	
Sunrise%	 USA%	 San Bernardino National Forest%	 California%	
Cool Hand Luke%	 USA%	Jacksonville%	 Florida%	
Kill Bill: Vol. 1%	 Japan%	Shinjuku%	 Tokyo%	
Kill Bill: Vol. 1%	 China%	Beijing%	NULL%	
Kill Bill: Vol. 1%	 USA%	Lancaster%	 California%	
Rebecca%	 USA%	Big Sur%	 California%	
The Bandit%	 Turkey%	Sanliurfa%	NULL%	
Shutter Island%	 USA%	 Boston%	 Massachusetts%	
Hacksaw Ridge%	 Australia%	 Sydney%	 New South Wales%	
Hacksaw Ridge%	 USA%	Pisgah National Forest%	 North Carolina%	
Mary and Max%	 Australia%	Melbourne%	 Victoria%	
Gone Girl%	 USA%	Cape Girardeau%	 Missouri%	
Andrei Rublev%	 Russia%	Assumption Cathedral of the Dormition%	 Vladimir%	
Into the Wild%	 USA%	 Longview%	 Washington%	
Into the Wild%	 Mexico%	El Golfo de Santa Clara%	 Sonora%	
Life of Brian%	 Tunisia%	 Carthage%	 Tunis%	
Life of Brian%	 UK%	London%	 England%	
Relatos salvajes%	 Argentina%	Jujuy%	NULL%	
Blade Runner 2049%	 Hungary%	Korda Studios%	 Etyek%	
Blade Runner 2049%	 Spain%	 Almería%	 Andalucía%	
Blade Runner 2049%	 USA%	Nevada%	NULL%	
Rang De Basanti%	 India%	 Jaipur%	 Rajasthan%	
It Happened One Night%	 USA%	 Pasadena%	 California%	
The Passion of Joan of Arc%	 France%	Boulogne-Billancourt%	 Hauts-de-Seine%	
Platoon%	 Philippines%	Cavite%	NULL%	
In the Name of the Father%	 Ireland%	 Dublin%	 County Dublin%	
In the Name of the Father%	 UK%	London%	 England%	
Network%	 Canada%	 Toronto%	 Ontario%	
Network%	 USA%	New York City%	 New York%	
Stand by Me%	 USA%	 Burney%	 California%	
Hotel Rwanda%	 Rwanda%	Kigali%	NULL%	
Hotel Rwanda%	 South Africa%	Johannesburg%	NULL%	
The Grand Budapest Hotel%	 Germany%	Görlitz%	 Saxony%	
The Grand Budapest Hotel%	 Poland%	Kraków%	 Malopolskie%	
Stalker%	 Estonia%	Tallinn%	NULL%	
Stalker%	 Tajikistan%	near%	 Isfara%	
Stalker%	 Russia%	Dolgopa%	NULL%	
The Wages of Fear%	 France%	Bouches-du-Rhône%	NULL%	
Jurassic Park%	 USA%	Tehachapi Pass%	 California%	
Ben-Hur%	 Italy%	 Rome%	 Lazio%	
Ben-Hur%	 Lebanon%	the roman fra hippodrome in Tyre%	NULL%	
Ben-Hur%	 Mexico%	Durango%	NULL%	
Ben-Hur%	 USA%	 Culver City%	 California%	
Persona%	 Sweden%	Fårö%	 Gotlands län%	
Rush%	 Germany%	Nürburgring%	 Rhineland-Palatinate%	
Rush%	 UK%	 Hampshire%	 England%	
Rush%	 Austria%	Vienna%	NULL%	
12 Years a Slave%	 USA%	 New Orleans%	 Louisiana%	
The Truman Show%	 USA%	Seaside%	 Florida%	
Million Dollar Baby%	 USA%	 Los Angeles%	 California%	
The 400 Blows%	 France%	 Paris 9%	 Paris%	
Mad Max: Fury Road%	 Namibia%	Namib Desert%	NULL%	
Mad Max: Fury Road%	 Australia%	Sydney%	 New South Wales%	
Mad Max: Fury Road%	 South Africa%	 Cape Town%	 Western Cape%	
Spotlight%	 Canada%	 Toronto%	 Ontario%	
Spotlight%	 USA%	 Boston%	 Massachusetts%	
Logan%	 USA%	 Rio Rancho%	 New Mexico%	
Amores Perros%	 Mexico%	 Mexico City%	 Distrito Federal%	
Before Sunrise%	 Austria%	 Prater%	 Vienna%	
Hachi: A Dog's Tale%	 USA%	Rhode Island%	NULL%	
Butch Cassidy and the Sundance Kid%	 USA%	Zion National Park%	 Utah%	
Butch Cassidy and the Sundance Kid%	 Mexico%	Cuernavaca%	 Morelos%	
Prisoners%	 USA%	Conyers%	 Georgia%	
The Princess Bride%	 Ireland%	Cliffs of Moher%	 County Clare%	
The Princess Bride%	 UK%	 Derbyshire%	 England%	
La La Land%	 USA%	 Los Angeles%	 California%	
Catch Me If You Can%	 USA%	 San Francisco Bay%	 California%	
Catch Me If You Can%	 Canada%	 Québec City%	 Québec%	
The Maltese Falcon%	 USA%	 San Francisco%	 California%	
Harry Potter and the Deathly Hallows: Part 2%	 UK%	 Pembrokeshire%	 Wales%	
A Wednesday%	 India%	Mumbai%	NULL%	
Rocky%	 USA%	 North Philadelphia%	 Pennsylvania%	
The Grapes of Wrath%	 USA%	Laguna Pueblo%	 New Mexico%	
The Nights of Cabiria%	 Italy%	 Rome%	 Lazio%	
Monsters, Inc.%	 USA%	 Emeryville%	 California%	
Diabolique%	 France%	 L'Étang-la-Ville%	 Yvelines%	
Diabolique%	 France.%	 Montfort L'Amaury%	 Yvelines%	
Donnie Darko%	 USA%	 Long Beach%	 California%	
Barry Lyndon%	 Ireland%	 Maynooth%	 County Kildare%	
Barry Lyndon%	 UK%	 Derbyshire%	 England%	
Barry Lyndon%	 Germany%	Baden-Württemberg%	NULL%	
Paper Moon%	 USA%	Hays%	 Kansas%	
Gandhi%	 UK%	 Surrey%	 England%	
Gandhi%	 India%	 New Delhi%	 Delhi%	
The Terminator%	 USA%	 Los Angeles%	 California%	
Touch of Evil%	 USA%	 Los Angeles%	 California%	
La Haine%	 France%	Paris%	NULL%	
Groundhog Day%	 USA%	 Woodstock%	 Illinois%	
The Wizard of Oz%	 USA%	Culver City%	 California%	
Dead Poets Society%	 USA%	 Middletown%	 Delaware%	
The Bourne Ultimatum%	 Spain%	Madrid%	NULL%	
The Bourne Ultimatum%	 UK%	 London%	 England%	
The Bourne Ultimatum%	 Italy%	Turin%	 Piedmont%	
The Bourne Ultimatum%	 France%	Paris%	NULL%	
The Bourne Ultimatum%	 Germany%	Platz der Vereinten Nationen%	 Berlin%	
The Bourne Ultimatum%	 USA%	 New York City%	 New York%	
The Bourne Ultimatum%	 Morocco%	Tangiers%	 Tangier-Tétouan%	
Annie Hall%	 USA%	 New York City%	 New York%	
8½%	 Italy%	 Rome%	 Lazio%	
Jaws%	 USA%	Los Angeles%	 California%	
Jaws%	 Australia%	Dangerous Reef%	 South Australia%	
In the Mood for Love%	 China%	Macau%	NULL%	
In the Mood for Love%	 Cambodia%	Angkor Wat%	 Siem Reap%	
The Help%	 USA%	Greenwood%	 Mississippi%	
Paris, Texas%	 USA%	 Marathon%	 Texas%	
The Best Years of Our Lives%	 USA%	 Ontario%	 California%	
Infernal Affairs%	 China%	 North Point%	 Hong Kong%	
Twelve Monkeys%	 USA%	 Philadelphia%	 Pennsylvania%	
Twelve Monkeys%	 Canada%	Montréal%	 Québec%	
Gangs of Wasseypur%	 India%	Varanasi%	 Uttar Pradesh%	
Before Sunset%	 France%	Seine River%	 Paris%	
Beauty and the Beast%	 USA%	 Burbank%	 California%	
The Battle of Algiers%	 Algeria%	Casbah%	 Algiers%	
Dog Day Afternoon%	 USA%	 New York City%	 New York%	
